Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,47.730000,47.730000,43.240002,43.910000,36.398903,12576200
2014-02-01,43.830002,45.799999,42.529999,45.270000,37.526268,8270300
2014-03-01,44.830002,45.599998,41.889999,44.990002,37.294163,11574800
2014-04-01,45.470001,47.270000,43.380001,43.840000,36.340885,12291400
2014-05-01,43.889999,46.160000,43.169998,45.860001,38.015339,6157500
2014-06-01,45.970001,47.730000,45.599998,46.369999,38.438103,5583600
2014-07-01,46.669998,50.750000,46.520000,49.490002,41.680622,7697200
2014-08-01,49.450001,51.540001,49.250000,50.130001,42.219639,10973100
2014-09-01,50.509998,52.419998,47.080002,47.380001,39.903587,11005900
2014-10-01,47.160000,49.459999,45.590000,49.209999,41.444809,12863000
2014-11-01,49.020000,50.369999,47.580002,49.779999,41.924862,9344500
2014-12-01,48.669998,50.889999,47.250000,50.230000,42.303856,8297100
2015-01-01,50.709999,53.099998,49.509998,50.400002,42.850700,9448300
2015-02-01,50.810001,53.250000,50.689999,53.060001,45.112251,7550000
2015-03-01,52.880001,54.939999,49.880001,54.500000,46.336563,22427400
2015-04-01,55.160000,64.580002,55.080002,62.680000,53.291294,26015900
2015-05-01,62.790001,64.029999,59.730000,59.849998,50.885204,18226700
2015-06-01,60.779999,61.099998,54.810001,56.040001,47.645885,20013000
2015-07-01,55.639999,56.279999,47.250000,50.040001,42.979183,33855300
2015-08-01,49.480000,51.150002,39.770000,44.099998,37.877335,25225200
2015-09-01,42.500000,46.660000,41.330002,43.810001,37.628262,15531800
2015-10-01,44.110001,50.070000,43.680000,47.299999,40.625809,13370400
2015-11-01,47.250000,48.980000,46.000000,46.750000,40.153400,14957900
2015-12-01,46.689999,47.040001,43.560001,44.619999,38.323956,29182600
2016-01-01,43.060001,43.200001,36.599998,39.279999,34.213493,27317100
2016-02-01,38.509998,39.610001,35.270000,38.349998,33.403465,19943500
2016-03-01,39.060001,42.919998,39.020000,42.509998,37.026878,20663600
2016-04-01,41.660000,44.279999,40.950001,42.270000,36.817841,17559100
2016-05-01,42.389999,42.419998,39.240002,42.250000,36.800411,31409000
2016-06-01,41.919998,43.189999,39.560001,42.389999,36.922356,31756400
2016-07-01,42.549999,44.470001,41.119999,44.020000,38.622208,17313100
2016-08-01,44.110001,47.529999,43.500000,46.759998,41.026230,27962200
2016-09-01,47.000000,49.950001,46.869999,48.500000,42.552872,36655800
2016-10-01,48.480000,49.930000,46.919998,47.070000,41.298218,29606600
2016-11-01,47.590000,47.860001,44.320000,46.619999,40.903397,35392100
2016-12-01,46.660000,46.660000,42.709999,43.730000,38.367771,26381000
2017-01-01,44.180000,47.470001,44.090000,47.009998,41.644859,23937400
2017-02-01,47.290001,50.020000,46.849998,48.709999,43.150837,23687300
2017-03-01,49.110001,51.259998,48.060001,49.930000,44.231606,37080200
2017-04-01,50.230000,51.450001,49.520000,51.160000,45.321224,28853100
2017-05-01,51.279999,54.259998,50.209999,53.770000,47.633358,30254400
2017-06-01,54.029999,56.070000,53.540001,54.689999,48.448360,38294300
2017-07-01,55.189999,59.750000,54.139999,59.410000,52.814251,26419100
2017-08-01,60.000000,62.240002,58.040001,62.000000,55.116703,33627400
2017-09-01,62.080002,64.709999,60.980000,63.090000,56.085690,36800000
2017-10-01,63.500000,66.349998,63.349998,65.300003,58.050339,28801600
2017-11-01,66.029999,70.169998,65.500000,66.239998,58.885967,34422300
2017-12-01,65.580002,66.800003,63.169998,66.540001,59.152676,35903200
2018-01-01,68.360001,76.720001,68.120003,74.809998,67.364746,50324800
2018-02-01,73.459999,73.989998,63.509998,69.199997,62.313072,75876800
2018-03-01,70.209999,73.089996,66.769997,68.570000,61.745770,68734100
2018-04-01,67.900002,69.379997,65.389999,66.849998,60.196949,64280000
2018-05-01,66.690002,70.849998,65.290001,68.830002,61.979893,62649700
2018-06-01,69.209999,72.160004,62.619999,64.599998,58.170876,80820800
2018-07-01,63.430000,65.970001,62.590000,63.820000,57.730270,73254800
2018-08-01,62.799999,63.209999,57.320000,60.740002,54.944164,106480700
2018-09-01,60.419998,61.110001,55.750000,59.889999,54.175270,97005700
2018-10-01,60.200001,60.299999,50.450001,53.250000,48.168869,148583000
2018-11-01,54.310001,57.750000,52.990002,57.480000,51.995235,156515700
2018-12-01,59.090000,59.160000,51.259998,52.619999,47.598976,183019900
2019-01-01,51.599998,59.340000,50.860001,59.310001,54.172752,133145000
2019-02-01,58.889999,62.320000,58.099998,60.709999,55.451488,96888700
2019-03-01,61.549999,63.240002,59.110001,62.430000,57.022503,125676400
2019-04-01,63.270000,65.250000,62.689999,63.520000,58.018089,100153000
2019-05-01,63.730000,64.620003,54.810001,55.330002,50.537491,143748200
2019-06-01,55.660000,59.740002,54.810001,59.450001,54.300629,72485700
2019-07-01,61.119999,61.410000,57.680000,58.470001,53.747250,56090900
2019-08-01,58.740002,59.099998,53.119999,56.419998,51.862823,89555800
2019-09-01,56.189999,59.939999,55.189999,56.080002,51.550293,73566900
2019-10-01,56.250000,59.430000,55.349998,58.470001,53.747250,69815800
2019-11-01,59.299999,61.700001,58.730000,59.660000,54.841125,56703600
2019-12-01,59.750000,64.589996,58.419998,64.089996,58.913307,63507100
2020-01-01,65.279999,67.839996,59.560001,60.110001,55.770187,105868000
2020-02-01,60.389999,65.779999,59.930000,62.130001,57.644352,110716800
2020-03-01,62.410000,64.199997,50.000000,57.250000,53.116680,137219800
2020-04-01,56.200001,61.529999,55.209999,59.980000,55.649574,72781900
2020-05-01,58.580002,63.590000,57.500000,61.000000,56.595936,86096000
2020-06-01,61.360001,67.220001,61.320000,65.449997,60.724648,84077900
2020-07-01,65.919998,76.279999,65.820000,71.510002,66.594643,96145500
2020-08-01,72.570000,77.250000,71.279999,75.650002,70.450066,71857000
2020-09-01,76.430000,77.709999,70.489998,74.169998,69.071793,73281000
2020-10-01,74.910004,79.410004,73.550003,77.720001,72.377785,80087700
2020-11-01,79.080002,84.720001,77.160004,79.809998,74.324120,89474500
2020-12-01,81.000000,81.839996,77.000000,80.970001,75.404388,73021700
2021-01-01,81.949997,94.029999,80.879997,87.519997,82.127327,83375800
2021-02-01,89.440002,97.550003,86.320000,87.110001,81.742592,73103300
2021-03-01,88.860001,89.919998,79.000000,81.699997,76.665932,107241400
2021-04-01,83.849998,84.459999,80.930000,81.980003,76.928688,55442700
2021-05-01,81.910004,82.519997,76.209999,81.839996,76.797310,59638600
2021-06-01,84.220001,84.230003,79.000000,82.440002,77.360352,66437100
2021-07-01,82.489998,82.720001,66.160004,71.269997,67.024399,93385200
2021-08-01,71.870003,73.360001,65.930000,70.790001,66.572998,89629500
2021-09-01,71.510002,74.180000,65.559998,67.529999,63.507195,96038900
2021-10-01,67.370003,73.470001,64.949997,69.239998,65.115334,91897000
