Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,183.979996,184.940002,176.880005,178.179993,148.252365,2530650900
2014-02-01,177.970001,187.149994,173.710007,186.289993,155.000275,2394184600
2014-03-01,184.649994,189.020004,183.750000,187.009995,155.599274,2554084300
2014-04-01,187.619995,189.699997,181.309998,188.309998,157.372467,2345902000
2014-05-01,188.220001,192.800003,186.009995,192.679993,161.024490,1781093800
2014-06-01,192.949997,196.600006,191.970001,195.720001,163.565079,1675047300
2014-07-01,196.199997,199.059998,192.970001,193.089996,162.140350,1893710200
2014-08-01,192.559998,200.820007,190.550003,200.710007,168.539001,1829885000
2014-09-01,200.970001,201.899994,196.050003,197.020004,165.440491,2106462700
2014-10-01,196.699997,201.820007,181.919998,201.660004,170.128311,3943068000
2014-11-01,201.919998,207.869995,200.059998,207.199997,174.802063,1571091800
2014-12-01,206.399994,212.970001,197.860001,205.539993,173.401596,3045171000
2015-01-01,206.380005,206.880005,198.550003,199.449997,169.192551,3183506000
2015-02-01,200.050003,212.240005,197.860001,210.660004,178.701920,1901638100
2015-03-01,210.779999,212.059998,204.119995,206.429993,175.113632,2749923000
2015-04-01,206.389999,212.479996,204.509995,208.460007,177.625000,2036685200
2015-05-01,209.399994,213.779999,206.759995,211.139999,179.908569,1892519900
2015-06-01,211.940002,213.339996,205.279999,205.850006,175.401093,2535242600
2015-07-01,207.729996,213.179993,204.110001,210.500000,180.235687,2452758000
2015-08-01,210.460007,211.309998,182.399994,197.669998,169.250351,3734926900
2015-09-01,193.119995,202.889999,186.929993,191.630005,164.078735,3279512900
2015-10-01,192.080002,209.440002,189.119995,207.929993,178.960770,2536184400
2015-11-01,208.320007,211.660004,202.179993,208.690002,179.614960,1924512800
2015-12-01,209.440002,211.000000,199.830002,203.869995,175.466446,2924882300
2016-01-01,200.490005,201.899994,181.020004,193.720001,167.722855,3712950900
2016-02-01,192.529999,196.679993,181.089996,193.559998,167.584320,2920730800
2016-03-01,195.009995,206.869995,194.449997,205.520004,177.939331,2323306500
2016-04-01,204.350006,210.919998,203.089996,206.330002,179.561905,1910635600
2016-05-01,206.919998,210.690002,202.779999,209.839996,182.616577,1828530900
2016-06-01,209.119995,212.520004,198.649994,209.479996,182.303238,2612406900
2016-07-01,209.479996,217.539993,207.059998,217.119995,189.934738,1648453700
2016-08-01,217.190002,219.600006,214.250000,217.380005,190.162216,1519703200
2016-09-01,217.369995,219.220001,212.309998,216.300003,189.217438,2292393000
2016-10-01,215.820007,216.699997,211.210007,212.550003,186.876205,1725687400
2016-11-01,212.929993,221.820007,208.380005,220.380005,193.760468,2073824400
2016-12-01,220.729996,228.339996,219.149994,223.529999,196.529922,1821910200
2017-01-01,225.039993,229.710007,223.880005,227.529999,201.225876,1482408500
2017-02-01,227.529999,237.309998,226.820007,236.470001,209.132324,1365136600
2017-03-01,238.389999,240.320007,231.610001,235.740005,208.486755,1921474100
2017-04-01,235.800003,239.529999,232.509995,238.080002,211.472229,1549613700
2017-05-01,238.679993,242.080002,235.429993,241.440002,214.456696,1492547000
2017-06-01,241.970001,245.009995,239.960007,241.800003,214.776474,1572753000
2017-07-01,242.880005,248.000000,240.339996,246.770004,220.259933,1055908800
2017-08-01,247.460007,248.910004,241.830002,247.490005,220.902649,1557031500
2017-09-01,247.919998,251.320007,244.949997,251.229996,224.240829,1286405100
2017-10-01,251.490005,257.890015,251.289993,257.149994,230.663925,1320624600
2017-11-01,258.040009,266.049988,255.630005,265.010010,237.714355,1365620900
2017-12-01,264.760010,268.600006,260.760010,266.859985,239.373795,1715222900
2018-01-01,267.839996,286.630005,267.399994,281.899994,254.157150,1985506700
2018-02-01,281.070007,283.059998,252.919998,271.649994,244.915955,2923722000
2018-03-01,271.410004,280.410004,257.829987,263.149994,237.252426,2323561800
2018-04-01,262.549988,271.299988,254.669998,264.510010,239.433762,1998466500
2018-05-01,263.869995,274.250000,259.049988,270.940002,245.254120,1606397200
2018-06-01,272.410004,279.480011,268.489990,271.279999,245.561935,1599001000
2018-07-01,269.510010,284.369995,269.239990,281.329987,255.802658,1266892500
2018-08-01,281.559998,291.739990,279.160004,290.309998,263.967865,1308443700
2018-09-01,289.839996,293.940002,286.709991,290.720001,264.340668,1228103300
2018-10-01,292.109985,293.209991,259.850006,270.630005,247.187531,3024345800
2018-11-01,271.600006,281.220001,263.070007,275.649994,251.772614,2021061200
2018-12-01,280.279999,280.399994,233.759995,249.919998,228.271393,3102780500
2019-01-01,245.979996,270.470001,243.669998,269.929993,247.987869,2048691700
